job_title,company,salary,location,classification,work_type,technical_skills,posted_date,job_id_url
Data Quality Specialist,BioScout,"$90,000 – $110,000 per year + Super + ESOP","Marrickville, Sydney NSW",Engineering - Software (Information & Communication Technology),Full time,R ai statistical r analytics SAs,2024-10-15,https://www.seek.com.au/job/79638817?type=standout&ref=search-standalone&origin=cardTitle
Project Operations Performance Analyst,Aquatec,N/A,"North Sydney, Sydney NSW","Analysis & Reporting (Manufacturing, Transport & Logistics)",Full time,SQL Analytics R Excel ai statistical r Tableau Power BI,2024-10-18,https://www.seek.com.au/job/79479994?type=standout&ref=search-standalone&origin=cardTitle
Data Scientist,Asbestos and Silica Safety and Eradication Agency,"$95,692 – $130,050 (APS 6 - EL 1) + 15.4% super",Sydney NSW,Government - Federal (Government & Defence),Full time,R Excel ai r Tableau,2024-10-16,https://www.seek.com.au/job/79567468?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer,AUSTRALIAN FEDERAL POLICE,"$102,927.00 - $113,563.00 +15.4 Super",Sydney NSW,Business/Systems Analysts (Information & Communication Technology)Government - Federal (Government & Defence),Full time,SQL R Excel ai statistical r analytics Python,2024-10-24,https://www.seek.com.au/job/79528232?type=standout&ref=search-standalone&origin=cardTitle
Kronos /UKG Pro Analyst,IAG,N/A,Sydney NSW,Other (Human Resources & Recruitment),Full time,R Excel ml ai r,2024-10-22,https://www.seek.com.au/job/79715070?type=promoted&ref=search-standalone&origin=cardTitle
Database Administrator / Data Engineer,365 Assistance,N/A,Sydney NSW,Database Development & Administration (Information & Communication Technology),Full time,quantitative SQL R Mathematics SAS Excel ml ai r Python excel,2024-10-23,https://www.seek.com.au/job/79649897?type=promoted&ref=search-standalone&origin=cardTitle
Business Analyst,DXC Technology Australia,N/A,"Macquarie Park, Sydney NSW",Workers' Compensation (Insurance & Superannuation),Full time,SQL R ETL SAS ai r Python aws,2024-10-22,https://www.seek.com.au/job/79691839?type=standout&ref=search-standalone&origin=cardTitle
Jr Business Info Analyst,PRGX Australia Inc.,N/A,"Chatswood, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,SQL R Excel ml ai r excel aws,2024-10-25,https://www.seek.com.au/job/79648456?type=standard&ref=search-standalone&origin=cardTitle
Commercial Analyst,"Department of Planning, Housing and Infrastructure",N/A,Sydney NSW,Government - State (Government & Defence),Full time,SQL R ETL ai Jira Ai r Python Power BI,2024-10-25,https://www.seek.com.au/job/79741917?type=standout&ref=search-standalone&origin=cardTitle
Senior Performance Analyst,COS,N/A,"Lidcombe, Sydney NSW",Analysis & Reporting (Sales),Full time,R r Excel ai,Posted 19h ago,https://www.seek.com.au/job/79724481?type=standout&ref=search-standalone&origin=cardTitle
Data Modeler,Scentre Group,N/A,Sydney NSW,Analysis & Reporting (Accounting),Full time,R Excel ai r analytics excel,2024-10-25,https://www.seek.com.au/job/79751254?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer,Lagardère AWPL,Hybrid | Career progression | Graduates apply!,Sydney NSW,Analysis & Reporting (Accounting),Full time,R Excel r ai,2024-10-18,https://www.seek.com.au/job/79741204?type=standard&ref=search-standalone&origin=cardTitle
FP&A | Junior Business Analyst - Finance | Graduate opportunity!,Hays | Technology,$160000.0 - $180000.0 p.a. + $180k package,Sydney NSW,Database Development & Administration (Information & Communication Technology),Full time,SQL R Databricks ml r Snowflake,2024-10-25,https://www.seek.com.au/job/79572255?type=standout&ref=search-standalone&origin=cardTitle
Business  Analyst,Cartology,N/A,"Surry Hills, Sydney NSW",Database Development & Administration (Information & Communication Technology),Full time,SQL R ETL ai r,Posted 19h ago,https://www.seek.com.au/job/79729614?type=standout&ref=search-standalone&origin=cardTitle
Sales Planning Analyst,The Argyle Network,AUD 100000 - 110000 per annum,Sydney NSW,Testing & Quality Assurance (Information & Communication Technology),Full time,SQL R ETL ai r Python Tableau Snowflake,2024-10-24,https://www.seek.com.au/job/79751025?type=standout&ref=search-standalone&origin=cardTitle
Property Business Analyst,KTM Australia Holdings PTY LTD,"$85,000 – $95,000 per year",Sydney NSW,Planning (Retail & Consumer Products),Full time,R Excel ml ai AI r analytics ML,2024-10-15,https://www.seek.com.au/job/79716414?type=standout&ref=search-standalone&origin=cardTitle
"Business Analyst - Pricing, Strategy & Transformation",Paxus,$650 - $760 p.d.,"Bella Vista, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Contract/Temp,R r Excel ai,2024-10-24,https://www.seek.com.au/job/79502091?type=standard&ref=search-standalone&origin=cardTitle
Principal Analyst Health Stats NSW,oOh!,N/A,"North Sydney, Sydney NSW","Other (Advertising, Arts & Media)",Full time,SQL Analytics R Mathematics AWS ai statistical r Ai Python ML Snowflake,Posted 20h ago,https://www.seek.com.au/job/79704260?type=standard&ref=search-standalone&origin=cardTitle
Data Engineer,Ministry of Health,"$139,787 - $161,663 + Super + Annual Leave Loading","St Leonards, Sydney NSW",Government - State (Government & Defence),Full time,R Excel ml ai r analytics excel Power BI,2024-10-24,https://www.seek.com.au/job/79748326?type=standard&ref=search-standalone&origin=cardTitle
Finance Business Partner and Data Analyst / Management Accountant,Calleo,Competitive,Sydney NSW,Engineering - Software (Information & Communication Technology),Contract/Temp,R ai statistical r excel,2024-10-17,https://www.seek.com.au/job/79697683?type=standout&ref=search-standalone&origin=cardTitle
ETL Data Test Analyst - Banking,Department of Health & Aged Care,N/A,Sydney NSW,Analysis & Reporting (Accounting)Government - Federal (Government & Defence),Full time,R r ai,2024-10-17,https://www.seek.com.au/job/79560945?type=standout&ref=search-standalone&origin=cardTitle
Data Analytics Manager,Charterhouse,Up to $1000 per day + super,Sydney NSW,Management (Information & Communication Technology),Contract/Temp,R r ai,2024-10-18,https://www.seek.com.au/job/79545659?type=standout&ref=search-standalone&origin=cardTitle
Data Analytics Manager,Downer EDI Limited,N/A,Sydney NSW,Management (Information & Communication Technology),Full time,R Excel ai r analytics,2024-10-25,https://www.seek.com.au/job/79568687?type=standard&ref=search-standalone&origin=cardTitle
Business Analyst / Market Research Analyst,Westfund Health Insurance,N/A,Sydney NSW,Analysis & Reporting (Banking & Financial Services),Full time,SQL R AWS ai r Python,2024-10-23,https://www.seek.com.au/job/79739505?type=standout&ref=search-standalone&origin=cardTitle
Senior Acturial Analyst,Siemens Ltd,$0 - $0,"North Ryde, Sydney NSW",Market Research & Analysis (Marketing & Communications),Contract/Temp,R r quantitative ai,2024-10-10,https://www.seek.com.au/job/79691409?type=standout&ref=search-standalone&origin=cardTitle
Data and Impact Coordinator,"Talent – Specialists in tech, transformation & beyond",N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,SQL Analytics ETL R Excel ai r analytics,2024-10-22,https://www.seek.com.au/job/79408776?type=standout&ref=search-standalone&origin=cardTitle
Consumer Research & Business Analyst,365 Assistance,N/A,Sydney NSW,Database Development & Administration (Information & Communication Technology),Full time,R excel r ai,2024-10-10,https://www.seek.com.au/job/79649897?type=promoted&ref=search-standalone&origin=cardTitle
Data Engineer – Cutting-Edge Reporting Solutions,Inchcape Australia,"$70,000 – $80,000 per year","Norwest, Sydney NSW",Market Research & Analysis (Marketing & Communications),Full time,SQL R ETL AWS Databricks Excel ml ai Ai r Python,2024-10-21,https://www.seek.com.au/job/79395878?type=promoted&ref=search-standalone&origin=cardTitle
Senior Quant Analyst,The Wayside Chapel,N/A,Sydney NSW,Other (Community Services & Development),Full time,r analytics Excel ai,Posted 19h ago,https://www.seek.com.au/job/79627089?type=standard&ref=search-standalone&origin=cardTitle
Mid- level Data Engineer,TheDriveGroup,N/A,Sydney NSW,Engineering - Software (Information & Communication Technology),Contract/Temp,SQL R ETL ai r,2024-10-21,https://www.seek.com.au/job/79750216?type=standard&ref=search-standalone&origin=cardTitle
Data Migration Analyst - Alteryx & Oracle,JANA Investment Advisers Pty Ltd,N/A,Sydney NSW,Other (Banking & Financial Services),Full time,R r quantitative ai,2024-10-19,https://www.seek.com.au/job/79624958?type=standard&ref=search-standalone&origin=cardTitle
Technical Business Analyst,Mane Consulting,INC super,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,SQL R ai statistical r Python,2024-10-22,https://www.seek.com.au/job/79599911?type=standout&ref=search-standalone&origin=cardTitle
Pricing Analyst/Administrator,Woolworths Group,N/A,"Norwest, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics R ai Snowflake r analytics Power BI,2024-10-21,https://www.seek.com.au/job/79636496?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Quality Specialist,Moir Group,$45-50 an hour + super,"North Sydney, Sydney NSW",Cost Accounting (Accounting),Contract/Temp,R Excel ai r Tableau,Posted 19h ago,https://www.seek.com.au/job/79621885?type=standout&ref=search-standalone&origin=cardTitle
Database Administrator / Data Engineer,Scentre Group,N/A,Sydney NSW,Financial Accounting & Reporting (Accounting),Full time,SQL R ETL AWS ml ai AI r analytics Python excel,2024-10-22,https://www.seek.com.au/job/79751253?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer(Junior to Mid-Level),Correlate Resources,N/A,Sydney NSW,Engineering - Network (Information & Communication Technology),Contract/Temp,SQL Analytics R ai statistical r analytics Python excel Tableau ML Power BI,2024-10-22,https://www.seek.com.au/job/79635704?type=standout&ref=search-standalone&origin=cardTitle
Senior Intelligence Analyst Talent Pool,365 Assistance,N/A,Sydney NSW,Database Development & Administration (Information & Communication Technology),Full time,R ml ai r analytics,Posted 16h ago,https://www.seek.com.au/job/79649897?type=standout&ref=search-standalone&origin=cardTitle
Application Support Analyst,Hydrogen Group Pty Ltd,N/A,Sydney NSW,Engineering - Software (Information & Communication Technology),Contract/Temp,SQL Analytics R ml ai r,Posted 22h ago,https://www.seek.com.au/job/79756698?type=standout&ref=search-standalone&origin=cardTitle
Commissions Analyst,Secure Parking Pty Ltd.,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,R r Excel ai,2024-10-23,https://www.seek.com.au/job/79744255?type=standout&ref=search-standalone&origin=cardTitle
Senior Analyst Model Validation,Bank of Queensland,Sydney or Melbourne based role!,Sydney NSW,Analysis & Reporting (Banking & Financial Services),Full time,SQL R ETL ai Jira AI r analytics Python excel Power BI,2024-10-22,https://www.seek.com.au/job/79689385?type=standout&ref=search-standalone&origin=cardTitle
Property Business Analyst,Department of Communities and Justice,"106,025- 117,363","Malabar, Sydney NSW",Police & Corrections (Government & Defence),Full time,quantitative SQL R Mathematics SAS Excel ml ai r Python excel,2024-10-25,https://www.seek.com.au/job/79634993?type=standout&ref=search-standalone&origin=cardTitle
Exciting Opportunity to work at Uber as a Core Operations Process Analyst!,"Department of Planning, Housing and Infrastructure",N/A,Sydney NSW,Government - State (Government & Defence),Full time,R Excel ml ai r,Posted 20h ago,https://www.seek.com.au/job/79740900?type=standout&ref=search-standalone&origin=cardTitle
Manager - Statistics & Modelling,Bluefin Resources Pty Limited,$150000.00 - $160000.00 p.a. + plus super,Sydney NSW,Analysis & Reporting (Banking & Financial Services),Full time,excel R r ai,2024-10-24,https://www.seek.com.au/job/79749797?type=standard&ref=search-standalone&origin=cardTitle
Kronos /UKG Pro Analyst,IAG,N/A,Sydney NSW,Other (Human Resources & Recruitment),Full time,R Excel ml ai r,2024-10-24,https://www.seek.com.au/job/79715070?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer / Developer,Sidekicker,$35.86 per hour,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,SQL R Excel ai r excel,2024-10-22,https://www.seek.com.au/job/79698113?type=standard&ref=search-standalone&origin=cardTitle
Data Engineer – Cutting-Edge Reporting Solutions,TheDriveGroup,$110 - $140k + super,Sydney NSW,Engineering - Software (Information & Communication Technology),Full time,SQL ETL R AWS ai r Snowflake,2024-10-24,https://www.seek.com.au/job/79641841?type=standard&ref=search-standalone&origin=cardTitle
Data Engineer,Bravure Pty Limited,N/A,Sydney NSW,Developers/Programmers (Information & Communication Technology),Full time,SQL R ETL AWS Databricks Excel ml ai Ai r Python,2024-10-16,https://www.seek.com.au/job/79714001?type=standard&ref=search-standalone&origin=cardTitle
Data Engineer / Consultant,RegCentric,"$125,000 – $150,000 per year + Bonus",Sydney NSW,Engineering - Software (Information & Communication Technology),Full time,SQL R ETL AWS ai r analytics,2024-10-24,https://www.seek.com.au/job/79507553?type=standout&ref=search-standalone&origin=cardTitle
FP&A Analyst - Suits first mover,Perigon Group Pty Limited,$115-120K package + bonus,Sydney NSW,Analysis & Reporting (Accounting),Full time,SQL R ETL AWS Databricks Excel ml ai Ai r Python,2024-10-22,https://www.seek.com.au/job/79712886?type=promoted&ref=search-standalone&origin=cardTitle
Analyst,AVA Advisory,"$50,000 – $60,000 per year",Sydney NSW,Banking - Business (Banking & Financial Services),Full time,R excel r,2024-10-18,https://www.seek.com.au/job/79651092?type=promoted&ref=search-standalone&origin=cardTitle
Data Engineer,EML Group,Competitive salary & great benefits.,Sydney NSW,Engineering - Software (Information & Communication Technology),Full time,SQL Analytics R quantitative Excel ai AI r analytics Python ML,2024-10-15,https://www.seek.com.au/job/79587476?type=standout&ref=search-standalone&origin=cardTitle
Technical Business Analyst,Novon,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,Analytics Excel ai r excel,2024-10-22,https://www.seek.com.au/job/79486241?type=standard&ref=search-standalone&origin=cardTitle
Data Scientist/Engineer,Simplified,"$145,000 - $160,000 base plus super",Sydney NSW,Database Development & Administration (Information & Communication Technology),Full time,r ml Excel ai,Posted 19h ago,https://www.seek.com.au/job/79630016?type=standout&ref=search-standalone&origin=cardTitle
Senior Tableau Analyst,Allura Partners,$130-150K + super,Sydney NSW,Programme & Project Management (Information & Communication Technology),Full time,R excel r ai,Posted 20h ago,https://www.seek.com.au/job/79750277?type=standard&ref=search-standalone&origin=cardTitle
Economic & Policy Analyst,Scentre Group,N/A,Sydney NSW,Strategy & Planning (Accounting),Full time,SQL R ETL ai Ai r Power BI,2024-10-10,https://www.seek.com.au/job/79749430?type=standout&ref=search-standalone&origin=cardTitle
Business Analyst/Junior PM - SaaS,Inchcape Australia,"$70,000 – $80,000 per year","Norwest, Sydney NSW",Market Research & Analysis (Marketing & Communications),Full time,SQL R ETL Excel ai r analytics,2024-10-17,https://www.seek.com.au/job/79395878?type=standout&ref=search-standalone&origin=cardTitle
Finance Analyst - Tech,Talent Insights Group Pty Ltd,N/A,Sydney NSW,Analysts (Consulting & Strategy),Contract/Temp,R Excel ai r analytics,2024-10-23,https://www.seek.com.au/job/79539380?type=standout&ref=search-standalone&origin=cardTitle
Consumer Research & Business Analyst,vitae group pty ltd,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics R Databricks ai r Tableau,2024-10-20,https://www.seek.com.au/job/79669416?type=standard&ref=search-standalone&origin=cardTitle
Business Analyst,Hydrogen Group Pty Ltd,$700 - $800 p.d.,Sydney NSW,Database Development & Administration (Information & Communication Technology),Contract/Temp,SQL R ETL ai r,2024-10-22,https://www.seek.com.au/job/79619998?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer,The University of Sydney,N/A,"Darlington, Sydney NSW","Mathematics, Statistics & Information Sciences (Science & Technology)",Contract/Temp,SQL R Excel ai r Python Tableau Power BI,2024-10-12,https://www.seek.com.au/job/79632396?type=standout&ref=search-standalone&origin=cardTitle
Research Officer - Data Science/Biostatistician,Morgan McKinley,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,SQL R ETL Databricks mL ai r Python excel Snowflake,2024-10-24,https://www.seek.com.au/job/79451465?type=standout&ref=search-standalone&origin=cardTitle
Data Management Consultant,C Smart International,$800 – $850 per day,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,R ai statistical r excel,2024-10-25,https://www.seek.com.au/job/79710821?type=standard&ref=search-standalone&origin=cardTitle
Business Analyst,empire group,Competitive,Sydney NSW,Other (Legal),Full time,Analytics R ai AI r analytics,2024-10-23,https://www.seek.com.au/job/79739670?type=standard&ref=search-standalone&origin=cardTitle
eDiscovery Analyst,PKF Sydney Newcastle,N/A,Sydney NSW,Compliance & Risk (Banking & Financial Services),Full time,R r ai,2024-10-19,https://www.seek.com.au/job/79653580?type=standard&ref=search-standalone&origin=cardTitle
Risk Analyst - Entry Level,Ambition,$180k - $200k p.a. + Bonus,Sydney NSW,Other (Information & Communication Technology),Full time,R r Excel ai,2024-10-23,https://www.seek.com.au/job/79595576?type=standout&ref=search-standalone&origin=cardTitle
Data Analytics Manager,NES Fircroft,N/A,Sydney NSW,"Mining - Engineering & Maintenance (Mining, Resources & Energy)",Contract/Temp,SQL R ETL ai r analytics Python Tableau Snowflake,2024-10-25,https://www.seek.com.au/job/79669998?type=standout&ref=search-standalone&origin=cardTitle
Plant Performance Engineer,Cartology,N/A,"Surry Hills, Sydney NSW",Database Development & Administration (Information & Communication Technology),Full time,R Excel ai r analytics Tableau Power BI,2024-10-25,https://www.seek.com.au/job/79730372?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Engineer,Reo Group,$25 - $30 p.h. + + Super,"Barangaroo, Sydney NSW",Data Entry & Word Processing (Administration & Office Support),Contract/Temp,R excel r,2024-10-24,https://www.seek.com.au/job/79726127?type=standout&ref=search-standalone&origin=cardTitle
Data Coordinator,Perigon Group Pty Limited,$115-120K package + bonus,Sydney NSW,Analysis & Reporting (Accounting),Full time,R AWS Databricks ml r analytics,Posted 20h ago,https://www.seek.com.au/job/79712886?type=standout&ref=search-standalone&origin=cardTitle
IT Database Officer,Robert Half,$800 - $1100 p.d. + Super - depending on experienc,Sydney NSW,Risk Consulting (Insurance & Superannuation),Contract/Temp,SQL R Excel ai statistical r,2024-10-22,https://www.seek.com.au/job/79749081?type=standard&ref=search-standalone&origin=cardTitle
Credit Analyst,AVA Advisory,"$50,000 – $60,000 per year",Sydney NSW,Banking - Business (Banking & Financial Services),Full time,R Excel ai r analytics,Posted 20h ago,https://www.seek.com.au/job/79651092?type=promoted&ref=search-standalone&origin=cardTitle
IT Systems Analyst,AMP Services,competitive base plus 12% super,Sydney NSW,Mortgages (Banking & Financial Services),Full time,R r Excel ai,2024-10-24,https://www.seek.com.au/job/79749476?type=promoted&ref=search-standalone&origin=cardTitle
Contract - Data Protection SME,Abbotsleigh School,N/A,"Wahroonga, Sydney NSW",Database Development & Administration (Information & Communication Technology),Full time,R excel r ai,2024-10-25,https://www.seek.com.au/job/79714617?type=standout&ref=search-standalone&origin=cardTitle
Commercial Analyst,Hays | Accountancy & Finance,N/A,"Parramatta, Sydney NSW",Analysis & Reporting (Accounting),Full time,R r ai,2024-10-25,https://www.seek.com.au/job/79739482?type=standout&ref=search-standalone&origin=cardTitle
FP&A Analyst - Suits first mover,Electronic Business Pearls Australia Pty Ltd,"$74,999 – $79,999 per year","Surry Hills, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,R Ai r ai,2024-10-23,https://www.seek.com.au/job/79738622?type=standard&ref=search-standalone&origin=cardTitle
Data Engineer,Motion Recruitment,N/A,Sydney NSW,Engineering - Software (Information & Communication Technology),Contract/Temp,R Excel ml ai r,2024-10-24,https://www.seek.com.au/job/79671854?type=standout&ref=search-standalone&origin=cardTitle
ICT Business Analyst,Ambition,"$180,000k - $200,000 p.a. + Super + 20% bonus",Sydney NSW,Other (Information & Communication Technology),Full time,r ai,2024-10-25,https://www.seek.com.au/job/79701350?type=standout&ref=search-standalone&origin=cardTitle
Head of Analytics & Pricing,Aurizon,N/A,Sydney NSW,Analysis & Reporting (Accounting),Full time,Databricks SQL r Python,2024-10-25,https://www.seek.com.au/job/79739596?type=standout&ref=search-standalone&origin=cardTitle
Senior Pricing Analyst,Core Talent,$30.00 - $32.5 p.h.,"Mascot, Sydney NSW",Data Entry & Word Processing (Administration & Office Support),Contract/Temp,SQL R ai statistical r analytics Python,2024-10-24,https://www.seek.com.au/job/79727401?type=standout&ref=search-standalone&origin=cardTitle
Business Analyst--Appian,HCL Australia Services Pty Ltd,"$110,000 – $130,000 per year",Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,R r Excel ai,2024-10-23,https://www.seek.com.au/job/79705757?type=standout&ref=search-standalone&origin=cardTitle
Data and Network Administrator,Limelight People,N/A,Sydney NSW,Management (Information & Communication Technology),Full time,R JIRA Excel ai AI r excel,2024-10-22,https://www.seek.com.au/job/79680795?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Scientist,AVA Advisory,"$50,000 – $60,000 per year",Sydney NSW,Banking - Business (Banking & Financial Services),Full time,R Excel ai r excel,2024-10-01,https://www.seek.com.au/job/79651092?type=standout&ref=search-standalone&origin=cardTitle
Analyst,ADF Careers,"$60,000 – $80,000 per year",Sydney NSW,Business/Systems Analysts (Information & Communication Technology)Government - Federal (Government & Defence),Full time,r Excel ai,2024-10-24,https://www.seek.com.au/job/79192064?type=standout&ref=search-standalone&origin=cardTitle
Business Analyst,Recruitment Hive,$135 - $155 p.h. + client fees disclosed,"Mascot, Sydney NSW",Other (Information & Communication Technology),Contract/Temp,R Ai r ai,2024-10-21,https://www.seek.com.au/job/79693255?type=standout&ref=search-standalone&origin=cardTitle
Intelligence Analyst (Geospatial) (No Experience),GIRRI BIRRANG PTY LTD,"$120,000 – $160,000 per year","Norwest, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,Excel ai AI r analytics,Posted 19h ago,https://www.seek.com.au/job/79625766?type=standout&ref=search-standalone&origin=cardTitle
Data & Insights Manager - Lead An Exciting Data Driven Practice,Nanosonics Limited,N/A,"Macquarie Park, Sydney NSW",Pharmaceuticals & Medical Devices (Healthcare & Medical),Full time,R Java ai AI r analytics Python ML,2024-10-24,https://www.seek.com.au/job/79750361?type=standout&ref=search-standalone&origin=cardTitle
Post Market Surveillance Engineer – Customer Experience,Experis AU,Negotiable rate,Sydney NSW,Other (Information & Communication Technology),Contract/Temp,R r Excel ai,2024-10-23,https://www.seek.com.au/job/79716392?type=standout&ref=search-standalone&origin=cardTitle
Data Solutions Engineer,Pacific International Insurance Pty Ltd,N/A,Sydney NSW,Compliance & Risk (Banking & Financial Services),Full time,R Excel ai r analytics excel Tableau Power BI,2024-10-23,https://www.seek.com.au/job/79691299?type=standout&ref=search-standalone&origin=cardTitle
Risk Analyst,Novotech (Australia) Pty Limited,N/A,Sydney NSW,Clinical/Medical Research (Healthcare & Medical),Full time,Analytics R JIRA ai AI r analytics Python ML,2024-10-23,https://www.seek.com.au/job/79654115?type=standout&ref=search-standalone&origin=cardTitle
Associate Clinical Data Manager | AU based,Microsoft,Subsidised health insurance + stock discounts,Sydney NSW,Management (Information & Communication Technology),Full time,quantitative R Excel ai r analytics excel,2024-10-23,https://www.seek.com.au/job/79689252?type=standout&ref=search-standalone&origin=cardTitle
Chief Data Officer - Asia,Novotech (Australia) Pty Limited,N/A,Sydney NSW,Clinical/Medical Research (Healthcare & Medical),Full time,R Excel ai r Tableau sas Power BI,Posted 21h ago,https://www.seek.com.au/job/79654219?type=standout&ref=search-standalone&origin=cardTitle
Clinical Data Manager | AU based,TRS - Public Sector,$800 - $900 per day + super,"Parramatta, Sydney NSW","Policy, Planning & Regulation (Government & Defence)",Contract/Temp,R r ai,2024-10-25,https://www.seek.com.au/job/79747279?type=standout&ref=search-standalone&origin=cardTitle
Clinical Data Manager | AU based,DHL Supply Chain (Australia) Pty Ltd,$0 - $0,"Rhodes, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,R r Excel ai,2024-10-11,https://www.seek.com.au/job/79726561?type=promoted&ref=search-standalone&origin=cardTitle
Senior Economic & Policy Analyst,Vocus,"$120,000 - $120,000","North Sydney, Sydney NSW",Analysis & Reporting (Sales),Full time,R Excel ai r excel sAs,2024-10-25,https://www.seek.com.au/job/79434755?type=promoted&ref=search-standalone&origin=cardTitle
Multiple Analyst Roles - Pricing & Policy,Hampshire Property Group,N/A,Sydney NSW,Engineering - Software (Information & Communication Technology),Full time,SQL Analytics R Databricks ai AI r Snowflake,2024-10-22,https://www.seek.com.au/job/79740590?type=standout&ref=search-standalone&origin=cardTitle
Data Analytics & Emerging Tech – Manager to Associate Director,KPMG,Our people build skills for the future,Sydney NSW,Analysts (Consulting & Strategy),Full time,R r ai,Posted 18h ago,https://www.seek.com.au/job/79650387?type=standout&ref=search-standalone&origin=cardTitle
AI/ML Strategy Specialist,Parity Consulting,N/A,Sydney NSW,Funds Management (Banking & Financial Services),Full time,R r Excel ai,2024-10-11,https://www.seek.com.au/job/79754391?type=standard&ref=search-standalone&origin=cardTitle
Responsible AI Data Science Engineer,Vocus,"$120,000 - $120,000","North Sydney, Sydney NSW",Analysis & Reporting (Sales),Full time,R Excel ai r excel sAs,Posted 20h ago,https://www.seek.com.au/job/79434755?type=standout&ref=search-standalone&origin=cardTitle
Digital Optimisation Analyst,AMP Services,competitive base plus 12% super,Sydney NSW,Mortgages (Banking & Financial Services),Full time,R Excel ai r analytics,2024-10-25,https://www.seek.com.au/job/79749476?type=standout&ref=search-standalone&origin=cardTitle
Senior Data and Integration Specialist,Transurban Ltd,N/A,Sydney NSW,Corporate Finance & Investment Banking (Banking & Financial Services),Full time,R Excel AI Jira r ML Power BI,Posted 18h ago,https://www.seek.com.au/job/79720008?type=standout&ref=search-standalone&origin=cardTitle
Database and Reporting Coordinator - 0.6 FTE,Australian Nuclear Science and Technology Organisation,N/A,"Lucas Heights, Sydney NSW",Other (Engineering)Government - Federal (Government & Defence),Full time,R r analytics ai,Posted 17h ago,https://www.seek.com.au/job/79752043?type=standout&ref=search-standalone&origin=cardTitle
"Product Analyst, Investments",Ecolab Pty Ltd,N/A,"Macquarie Park, Sydney NSW",Cost Accounting (Accounting),Full time,SQL R AWS ai Ai r analytics Python Snowflake,2024-10-15,https://www.seek.com.au/job/79756571?type=standout&ref=search-standalone&origin=cardTitle
Database Administrator / Data Engineer,Special Broadcasting Service,N/A,"Artarmon, Sydney NSW",Other (Information & Communication Technology),Full time,SQL Analytics R AWS Excel ai Ai r analytics Python,2024-10-19,https://www.seek.com.au/job/79484689?type=standout&ref=search-standalone&origin=cardTitle
Corporate Finance Analyst,Beaumont People,N/A,"Summer Hill, Sydney NSW",Database Development & Administration (Information & Communication Technology),Part time,quantitative Analytics R Java Excel ai statistical r Python ML,2024-10-24,https://www.seek.com.au/job/79602266?type=standout&ref=search-standalone&origin=cardTitle
Finance Analyst - Supply Chain,Macquarie University,$119k - $133k p.a. + 17% superannuation,"North Ryde, Sydney NSW",Other (Information & Communication Technology),Full time,excel R r ai,2024-10-04,https://www.seek.com.au/job/79699550?type=standout&ref=search-standalone&origin=cardTitle
Insights & Analytics Lead,Fernway Partners,C.$500 - per day neg on exp,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,excel R r ai,2024-10-19,https://www.seek.com.au/job/79255876?type=standard&ref=search-standalone&origin=cardTitle
Quality Management System Analyst,LifeByte Systems,N/A,Sydney NSW,Other (Engineering),Full time,SQL Analytics R ETL Excel ai r analytics Python excel Power BI,Posted 23h ago,https://www.seek.com.au/job/79606500?type=standout&ref=search-standalone&origin=cardTitle
SAP Master Data / Migration Analyst,Talent Insights Group Pty Ltd,Approx $800 per day,"Sydney Olympic Park, Sydney NSW",Developers/Programmers (Information & Communication Technology),Contract/Temp,r ai,2024-10-02,https://www.seek.com.au/job/79742520?type=standout&ref=search-standalone&origin=cardTitle
Application Support Analyst,Archer Referrals,"$150,000 – $180,000 per year",Sydney NSW,Database Development & Administration (Information & Communication Technology),Full time,R ETL AWS ml ai r Python excel Snowflake,2024-10-18,https://www.seek.com.au/job/79196276?type=standout&ref=search-standalone&origin=cardTitle
